CountyName,LocationName,Asthma,TotalPopulation,TotalPop18plus,COP,GEOID,Smoking,Drinking,Short_Sleep,Physical_Activity,neighbor_avg_density,minority,aging,disability,forest_total,wetland_total,Hdensity_total,Ldensity_total,grasses_total,water_total,forest_pct,Hdensity_pct,lst_winter,ndvi_fall,evi_spring,evi_fall,savi_fall,savi_winter,savi_summer,savi_spring,ndvi_winter,lst_summer,evi_summer,lst_spring,lst_fall,ndvi_spring,ndvi_summer,evi_winter
Lackawanna,42069111500,10.4,3367,2745,8.4,42069111500,16.5,18.4,39.4,24.1,4.196910035669847,0.0746179202876835,0.2241534312256518,0.1090800119868145,673.8588235294117,12.054901960784314,1692.627450980392,1195.760784313725,139.0470588235294,16.905882352941177,0.4791310218001094,0.3583290857698902,3.762714292574603,0.5429508466785239,0.2851069744822903,0.2980227196106935,0.2935245676258856,0.2124500714255073,0.4071055376205613,0.2753257011245075,0.4436145100538263,37.235868636082905,0.4408585446802026,28.06456132822216,17.20335668827924,0.475945625583808,0.6368770744208606,0.20720955959508
Delaware,42045409601,9.0,4930,3680,5.1,42045409601,9.3,17.6,35.6,17.6,2.6156917909487802,0.1876883340507963,0.2018941024537236,0.081145071028842,1592.6470588235302,57.545098039215695,420.33333333333337,4017.090196078428,38.0,1.0,0.12974330563250225,0.05019359052106172,4.848120456991177,0.7135581549555051,0.4577536640414362,0.3119040701884912,0.3279690779407709,0.2146246112832815,0.4845962952413027,0.4265258255079139,0.5499047555282773,32.61790494565714,0.5338521395578028,20.78596130221116,22.95748023071465,0.6667753640006908,0.7494116002733557,0.1840321324008472
Dauphin,42043025200,10.8,3486,2751,8.7,42043025200,16.8,17.9,39.0,24.3,0.24135878443241274,0.0595303113052976,0.1802293828509011,0.1215182960131076,21112.552941176484,66.0,1089.435294117647,5380.050980392156,26090.62745098039,36.0,0.7194112377340419,0.12850694369452065,2.4357974060139376,0.6684685435995656,0.2731362630377254,0.3882915952902443,0.3816048138896792,0.24635186616193,0.513585668248805,0.2742022377541031,0.4803760212758192,32.98777774870963,0.5594736182628354,12.2157916993789,16.493784890257775,0.4516310567274785,0.7621372731897406,0.2434123799566779
Lackawanna,42069110700,11.1,2377,1862,10.5,42069110700,17.4,16.2,40.5,28.4,4.7325719151894825,0.0300668151447661,0.2761692650334075,0.2201187824795842,885.4784313725488,12.0,1574.7372549019608,1003.1372549019608,819.4196078431374,3.5137254901960784,0.39923471082432466,0.3734055852454689,4.547190503385796,0.5265838104705248,0.246719729862505,0.2567152663626438,0.264749539694486,0.1885363979845011,0.4166842743398756,0.2465511287559348,0.4186476450541904,36.67283262593724,0.442197971855751,24.53474271975099,20.221640303331217,0.4272319091990421,0.6551966387850938,0.1769564060937736
Delaware,42045405000,13.8,1999,1538,14.6,42045405000,26.6,10.8,54.0,44.6,33.61991678425384,0.9619537275064268,0.1979434447300771,0.2267352185089974,39.68627450980392,77.9921568627451,1127.556862745098,384.6352941176471,1.0,0.0,0.0,0.591624438748361,10.053935443190866,0.4155460472596423,0.2612248460719733,0.2546451575797405,0.2404555567731696,0.1357247726612996,0.293110181133892,0.2437988177792658,0.2348631281929842,38.56922950425793,0.3221862679331476,28.2367242209377,28.52627934120666,0.4044394852691287,0.4652245717674265,0.1409982492166392
Dauphin,42043024802,11.0,4220,3392,9.0,42043024802,17.6,17.3,39.3,24.9,0.38221907159805774,0.0650708807808505,0.2419242389030908,0.1615152219381826,34776.71372549017,1003.8823529411764,1805.5803921568624,8864.898039215686,36624.79607843138,17838.35294117648,0.5349087545847114,0.0785972898834333,2.876193240346055,0.4764135812729789,0.2014488445337613,0.2689668000484383,0.2691165377631824,0.2038393322173053,0.4332344158005549,0.2010984758985893,0.3535140915618681,32.25546704964913,0.4710135890723653,8.268309808096758,15.77239060738802,0.2913245700271933,0.6459951651900401,0.2034226813051093
Cumberland,42041011803,10.5,7021,5710,8.3,42041011803,16.5,18.5,37.2,24.3,1.4731173952052181,0.0595961022454455,0.2102810337522948,0.1354328484677305,20819.392156862745,1635.419607843137,5810.435294117646,13105.890196078435,34352.14509803921,563.6392156862745,0.5993243478694917,0.3203560058609899,3.5331517680414644,0.5842151449214584,0.2702850111163724,0.345931527773437,0.3385946361336392,0.2503829447637538,0.4817315877446848,0.2660625024714373,0.4506958596344703,34.499136044120576,0.5282223677059957,10.262912724431247,17.62251495101954,0.4316754074915266,0.7162694664537015,0.2509115391913906
Delaware,42045410401,9.8,2910,2120,5.9,42045410401,14.3,20.2,39.7,20.1,4.444151708474723,0.2135374697824335,0.1474617244157937,0.1281224818694601,1163.7098039215684,2.0,404.3607843137255,2053.6392156862757,170.06274509803922,0.0,0.3053385723817676,0.08159089145783226,2.399766723178447,0.668052770021881,0.4047216437989126,0.3697264908660417,0.3586078409752451,0.2043434412438722,0.4902119242347171,0.3876052439989795,0.4682017316867328,33.7278752696379,0.5402310025660956,22.507796435940985,21.50116420665304,0.6270750601109585,0.7509475823982229,0.1982700584847768
Delaware,42045406804,10.4,4564,3876,7.9,42045406804,14.1,16.2,38.9,23.6,3.786694837337203,0.2517482517482518,0.3462744152399324,0.1531227393296358,721.9529411764706,7.0,560.3568627450979,2403.211764705882,18.0,5.0,0.24787341524622752,0.09129336347285696,4.191677370823207,0.6003724417428046,0.4863909198127219,0.3509602161270975,0.3337943604082539,0.2139652443539266,0.4592531125113318,0.4431108780184444,0.4731805332546409,35.56367411731919,0.5080144895281478,27.1569593284276,18.19544799439611,0.6741117435956283,0.7130373634373577,0.2102825023183144
Lackawanna,42069110403,9.9,3022,2501,6.2,42069110403,11.6,18.9,36.5,19.2,4.701186601028773,0.0947008547008547,0.2741880341880341,0.1264957264957265,4687.039215686274,188.5372549019608,1880.0274509803924,4455.654901960784,843.1529411764708,160.05490196078438,0.5742979179129767,0.15564228307054342,1.674505188117378,0.6288734457928664,0.2658281950283129,0.3334055732179512,0.3297045492577465,0.2218713105233117,0.4863864608523003,0.2620932921659747,0.4977672647560929,33.192614909862264,0.5338881600234758,24.211934931340355,17.06892320074134,0.4517962142354198,0.7342652771228098,0.2133659716026579
