system:index,geoid,sum,.geo
29,42003020100,64.98431372549021,"{""type"":""Polygon"",""coordinates"":[[[-80.01628862353056,40.443205877354764],[-79.99673667126787,40.432799908711765],[-79.99000772661839,40.44593990402651],[-79.9961317228584,40.44818090414941],[-80.01628862353056,40.443205877354764]]]}"
30,42003020300,28.29019607843137,"{""type"":""Polygon"",""coordinates"":[[[-79.9961317228584,40.44818090414941],[-79.99036372168386,40.44459190443505],[-79.96807280893326,40.46101089836456],[-79.97390681394663,40.4658688977622],[-79.9961317228584,40.44818090414941]]]}"
31,42003030500,99.62745098039218,"{""type"":""Polygon"",""coordinates"":[[[-79.99364169785606,40.43908390641269],[-79.97754372625415,40.43822790419013],[-79.9753717333212,40.439200903646174],[-79.98389774563,40.44851890261813],[-79.99364169785606,40.43908390641269]]]}"
32,42003040200,114.41960784313727,"{""type"":""Polygon"",""coordinates"":[[[-79.97750072654568,40.43829790416779],[-79.96649074283414,40.43650590282016],[-79.95743677655267,40.44251290044918],[-79.963250771599,40.4446619008753],[-79.97750072654568,40.43829790416779]]]}"
33,42003040400,0.5882352941176471,"{""type"":""Polygon"",""coordinates"":[[[-79.95272280041932,40.448356898988216],[-79.95036479647354,40.44515689912788],[-79.94658280276275,40.44490989866944],[-79.94874981257865,40.4503908982668],[-79.95272280041932,40.448356898988216]]]}"
34,42003040500,33.60392156862745,"{""type"":""Polygon"",""coordinates"":[[[-79.96200875891064,40.4391739016513],[-79.95640675898949,40.435122901426055],[-79.94924278890515,40.44134389946556],[-79.95743677655267,40.44251290044918],[-79.96200875891064,40.4391739016513]]]}"
35,42003040600,62.603921568627456,"{""type"":""Polygon"",""coordinates"":[[[-79.9563447595396,40.43528490139144],[-79.94985877023625,40.43442890044258],[-79.94895178903865,40.441178899444864],[-79.95233377877324,40.439670900134544],[-79.9563447595396,40.43528490139144]]]}"
36,42003040900,169.3647058823529,"{""type"":""Polygon"",""coordinates"":[[[-79.97289273003608,40.436427903854444],[-79.95391774454652,40.42765790208406],[-79.94972875631713,40.42882390113937],[-79.96206975867348,40.43912990166797],[-79.97289273003608,40.436427903854444]]]}"
37,42003050100,152.3686274509804,"{""type"":""Polygon"",""coordinates"":[[[-79.98242774204154,40.44649190293667],[-79.97504374704006,40.44365890263248],[-79.96435179044411,40.45220889966723],[-79.96666378919032,40.453173899727744],[-79.98242774204154,40.44649190293667]]]}"
38,42003050600,285.64705882352945,"{""type"":""Polygon"",""coordinates"":[[[-79.96600379593625,40.455189899288435],[-79.96486878004049,40.44877590034229],[-79.95406981035134,40.45309689846761],[-79.95721881972919,40.45865289792913],[-79.96600379593625,40.455189899288435]]]}"
