CountyName,Asthma,TotalPopulation,COP,GEOID,Smoking,Drinking,Short_Sleep,Physical_Activity,neighbor_avg_density,minority,aging,disability,forest_total,wetland_total,Hdensity_total,Ldensity_total,grasses_total,water_total,forest_pct,Hdensity_pct,evi_summer,lst_summer,ndvi_summer,savi_summer,summer_count,summer_rate
Allegheny,11.0,2658,4.9,42003111300,13.2,21.8,38.1,19.9,37.0112387932043,0.3472172351885099,0.1217235188509874,0.1371633752244165,1.8901960784313725,0.0,471.36862745098034,72.58823529411765,2.388235294117647,0.0,0.0,0.6726428672451519,0.3351518762636608,41.23143338419271,0.5118806466062401,0.3143741992214407,24.556367541766114,0.9238663484486875
Allegheny,10.9,4141,8.1,42003191600,16.5,21.2,37.0,23.3,19.899292929219133,0.2715897939156035,0.2041216879293425,0.1921000981354269,596.9254901960783,0.0,1014.5960784313726,1070.4705882352937,2.0,0.0,0.4453211226152311,0.2039795610732755,0.4490331367863479,32.357348587892645,0.6301911571526895,0.4110800869860739,63.241668257756565,1.5272076372315035
Allegheny,8.8,4658,4.2,42003140800,8.1,21.3,31.1,14.7,12.481720496847942,0.2317544216304126,0.1677170156535881,0.0628176458629802,201.80392156862743,0.0,512.9960784313723,269.2823529411764,5.0,0.0,0.6034395647104548,0.372972311832067,0.4512737905940104,34.90535832310724,0.6386733093180947,0.4133548464721523,36.88602386634845,0.7918854415274463
Allegheny,10.7,2725,5.8,42003191400,13.8,24.8,35.1,18.9,26.921743929492855,0.1593248250308769,0.1379168382050226,0.1086867023466447,189.4313725490196,0.0,800.3098039215683,363.9960784313726,0.0,0.0,0.2396853327812855,0.5032952925092734,0.4092886472073649,34.042170859397004,0.5839895755917471,0.3755547357896577,29.79940334128878,1.0935560859188544
Allegheny,9.2,4987,4.2,42003070900,10.3,18.8,34.6,19.7,62.33767206747876,0.3908484270734032,0.1718303145853193,0.0743565300285986,0.0,0.0,705.5450980392156,98.16470588235292,0.0,0.0,0.0,0.6588870238002602,0.2988653888845333,41.03629451636101,0.4817881197436744,0.2838871084191804,39.49132696897375,0.7918854415274463
Adams,9.9,2288,7.9,42001031402,12.7,15.6,34.6,21.4,7.310503180896744,0.0481611208406304,0.3371278458844133,0.1506129597197898,15593.376470588231,1933.156862745098,1481.0784313725492,7904.294117647057,33283.31372549018,129.05882352941177,0.4535170915957027,0.1359740517640828,0.5626115048395245,33.86698680988998,0.7513521617752364,0.5115845809556482,34.07973269689737,1.4894988066825776
Allegheny,16.0,1386,18.0,42003050900,35.3,10.3,53.9,50.9,29.517799691176084,0.9818840579710144,0.1710144927536231,0.2427536231884058,136.0941176470588,0.0,314.90196078431364,79.76470588235291,10.0,0.0,0.1102178423236514,0.4371606475716066,0.4645955987859305,36.60082291297986,0.6275902030877297,0.4162948711627963,47.03799522673031,3.3937947494033414
Allegheny,10.5,2552,5.2,42003160800,14.1,24.2,35.7,18.3,26.25873842055514,0.1379605826906598,0.1178234790059982,0.1580976863753213,90.60000000000002,0.0,466.6666666666666,209.16078431372551,0.0,0.0,0.2631692853741937,0.423966386554622,0.4319829184216088,35.87813450284474,0.6075341593088213,0.3929801953822709,25.02056324582339,0.9804295942720763
Allegheny,11.2,1723,6.4,42003050600,14.2,15.1,41.2,24.8,42.34195011745673,0.8346938775510204,0.2076530612244898,0.2530612244897959,6.0,0.0,402.8039215686275,285.64705882352945,6.0,0.0,0.0,0.3093705885216374,0.4743373614704787,36.514147771607874,0.6264699153525799,0.4261891881341001,20.791140811455847,1.2066825775656325
Adams,10.1,2310,6.4,42001031000,15.3,20.1,38.1,21.0,7.891277209197718,0.0666356011183597,0.1230195712954333,0.1388630009319664,285.30588235294124,341.75686274509803,1477.6235294117644,2236.4627450980406,5690.627450980393,13.0,0.327766552582024,0.2802035064252615,0.4995505825027886,36.76341045701351,0.6456488455962205,0.4473944755122682,27.874367541766112,1.2066825775656325
